Organization,State,Categories,Contact
Child In Need Institute (CINI),odisha,"Disaster Prevention, Education, Health, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9015457853 Email:  archana.mukharji@cinindia.org Website:  https://www.cini-india.org
Child In Need Institute (CINI),west bengal,"Disaster Prevention, Education, Health, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9015457853 Email:  archana.mukharji@cinindia.org Website:  https://www.cini-india.org
Child Rights Observatory Madhya Pradesh,madhya pradesh,"Education, Health",Tel:  9425014105 Email:  cromp.in@gmail.com Website:  http://cro-mp.org/
Childhood Enhancement Through Training And Action (CHETNA),delhi,"Education, Health",Tel:  9811432012 Email:  info@chetnango.org Website:  http://www.chetnango.org
Childhood Enhancement Through Training And Action (CHETNA),haryana,"Education, Health",Tel:  9811432012 Email:  info@chetnango.org Website:  http://www.chetnango.org
Childhood Enhancement Through Training And Action (CHETNA),uttar pradesh,"Education, Health",Tel:  9811432012 Email:  info@chetnango.org Website:  http://www.chetnango.org
Childlife Preserve Shishur Sevay,west bengal,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  9830240182 Email:  info@shishursevay.org Website:  https://www.shishursevay.org
Children Toy Foundation,andaman and nicobar islands,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,andhra pradesh,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,bihar,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,dadra and nagar haveli,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,delhi,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,gujarat,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,karnataka,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,kerala,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,madhya pradesh,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,maharashtra,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,odisha,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,puducherry,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,rajasthan,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,tripura,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,uttar pradesh,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children Toy Foundation,west bengal,Education,Tel:  9167769557 Email:  play@childrentoyfoundation.org Website:  http://www.childrentoyfoundation.org
Children's Lovecastles Trust,bihar,Education,Tel:  9880140887 Email:  bhagya@cltindia.org Website:  https://www.cltindia.org
Children's Lovecastles Trust,goa,Education,Tel:  9880140887 Email:  bhagya@cltindia.org Website:  https://www.cltindia.org
Children's Lovecastles Trust,jammu & kashmir,Education,Tel:  9880140887 Email:  bhagya@cltindia.org Website:  https://www.cltindia.org
Children's Lovecastles Trust,karnataka,Education,Tel:  9880140887 Email:  bhagya@cltindia.org Website:  https://www.cltindia.org
Children's Lovecastles Trust,madhya pradesh,Education,Tel:  9880140887 Email:  bhagya@cltindia.org Website:  https://www.cltindia.org
Children's Lovecastles Trust,maharashtra,Education,Tel:  9880140887 Email:  bhagya@cltindia.org Website:  https://www.cltindia.org
Children's Lovecastles Trust,rajasthan,Education,Tel:  9880140887 Email:  bhagya@cltindia.org Website:  https://www.cltindia.org
Children's Lovecastles Trust,uttar pradesh,Education,Tel:  9880140887 Email:  bhagya@cltindia.org Website:  https://www.cltindia.org
Chintan Environmental Research And Action Group,delhi,"Education, Environment, Women Empowerment",Tel:  9899379539 Email:  ira@chintan-india.org Website:  http://www.chintan-india.org
Chintan Environmental Research And Action Group,punjab,"Education, Environment, Women Empowerment",Tel:  9899379539 Email:  ira@chintan-india.org Website:  http://www.chintan-india.org
Chintan Environmental Research And Action Group,uttarakhand,"Education, Environment, Women Empowerment",Tel:  9899379539 Email:  ira@chintan-india.org Website:  http://www.chintan-india.org
Chirag Rural Development Foundation,maharashtra,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9820129715 Email:  lana.d@projectchirag.org Website:  http://www.projectchirag.org
Chirag Rural Development Foundation,rajasthan,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9820129715 Email:  lana.d@projectchirag.org Website:  http://www.projectchirag.org
Chirag Rural Development Foundation,meghalaya,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9820129715 Email:  lana.d@projectchirag.org Website:  http://www.projectchirag.org
Chirag Rural Development Foundation,assam,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9820129715 Email:  lana.d@projectchirag.org Website:  http://www.projectchirag.org
Chirag Rural Development Foundation,uttarakhand,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9820129715 Email:  lana.d@projectchirag.org Website:  http://www.projectchirag.org
Chirag Rural Development Foundation,andhra pradesh,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9820129715 Email:  lana.d@projectchirag.org Website:  http://www.projectchirag.org
Chirag Rural Development Foundation,odisha,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9820129715 Email:  lana.d@projectchirag.org Website:  http://www.projectchirag.org
Chirag Rural Development Foundation,karnataka,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9820129715 Email:  lana.d@projectchirag.org Website:  http://www.projectchirag.org
Chirag Rural Development Foundation,uttar pradesh,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9820129715 Email:  lana.d@projectchirag.org Website:  http://www.projectchirag.org
Chotanagpur Kalyan Niketan,jharkhand,"Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8709172435 Email:  simdega.ckn555@gmail.com Website:  https://www.ckns.org
Christ Orphan Center Ministries (COCM),andhra pradesh,"Education, Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9441045118 Email:  christorphancenter@yahoo.co.in Website:  https://cocmindia.webs.com
Christel House India,chhattisgarh,Education,Tel:  9986888555 Email:  frchb@christelhouseindia.org Website:  https://in.christelhouse.org/
Christel House India,karnataka,Education,Tel:  9986888555 Email:  frchb@christelhouseindia.org Website:  https://in.christelhouse.org/
Christian Hymns For Urban & Rural Community Health Society,andhra pradesh,"Education, Health, Rural Development, Women Empowerment",Tel:  9182826295 Email:  churchs1997@gmail.com Website:  http://www.churchsngo.com
Committee For Legal Aid To Poor,arunachal pradesh,"Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9861217239 Email:  info@clapindia.org Website:  http://www.clapindia.org
Committee For Legal Aid To Poor,assam,"Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9861217239 Email:  info@clapindia.org Website:  http://www.clapindia.org
Committee For Legal Aid To Poor,manipur,"Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9861217239 Email:  info@clapindia.org Website:  http://www.clapindia.org
Committee For Legal Aid To Poor,meghalaya,"Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9861217239 Email:  info@clapindia.org Website:  http://www.clapindia.org
Committee For Legal Aid To Poor,mizoram,"Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9861217239 Email:  info@clapindia.org Website:  http://www.clapindia.org
Committee For Legal Aid To Poor,nagaland,"Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9861217239 Email:  info@clapindia.org Website:  http://www.clapindia.org
Committee For Legal Aid To Poor,odisha,"Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9861217239 Email:  info@clapindia.org Website:  http://www.clapindia.org
Committee For Legal Aid To Poor,sikkim,"Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9861217239 Email:  info@clapindia.org Website:  http://www.clapindia.org
Committee For Legal Aid To Poor,tripura,"Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9861217239 Email:  info@clapindia.org Website:  http://www.clapindia.org
Committee On Socio Economic And Health Development Assam,assam,Health,Tel:  9101336199 Email:  contact@cosehda.org.in Website:  http://www.cosehda.org.in
Community Action Development Liberative And Education (CANDLE),tamil nadu,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9486814622 Email:  candlengo@yahoo.com Website:  http://www.candlengo.in
Community Action For Rural Development Society,maharashtra,"Agriculture, Livelihood, Rural Development, Women Empowerment",Tel:  9822724939 Email:  cardanj1@gmail.com Website:  http://www.cardanj.org
Community Advancement And Rural Development Society (CARDS),chattisgarh,"Agriculture, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9826158403 Email:  cards@cards.org.in Website:  http://www.cards.org.in
Community Advancement And Rural Development Society (CARDS),haryana,"Agriculture, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9826158403 Email:  cards@cards.org.in Website:  http://www.cards.org.in
Community Advancement And Rural Development Society (CARDS),madhya pradesh,"Agriculture, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9826158403 Email:  cards@cards.org.in Website:  http://www.cards.org.in
Community Advancement And Rural Development Society (CARDS),maharashtra,"Agriculture, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9826158403 Email:  cards@cards.org.in Website:  http://www.cards.org.in
Community Aid And Sponsorship Program,delhi,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810075791 Email:  manju@caspindia.org Website:  https://www.caspindia.org/
Community Aid And Sponsorship Program,gujarat,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810075791 Email:  manju@caspindia.org Website:  https://www.caspindia.org/
Community Aid And Sponsorship Program,kerala,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810075791 Email:  manju@caspindia.org Website:  https://www.caspindia.org/
Community Aid And Sponsorship Program,maharashtra,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810075791 Email:  manju@caspindia.org Website:  https://www.caspindia.org/
Community Aid And Sponsorship Program,uttar pradesh,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810075791 Email:  manju@caspindia.org Website:  https://www.caspindia.org/
Community Development Centre,madhya pradesh,"Agriculture, Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9425822228 Email:  office@cdcmp.org.in Website:  http://www.cdcmp.org.in
Community Development Organisation,manipur,"Agriculture, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  6009244045 Email:  cdongaikhong@gmail.com Website:  http://www.notavailable.com 
Community Development Welfare Society,andhra pradesh,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9440540186 Email:  yezramanibabu@gmail.com Website:  http://www.yourdomain.com
Community Organisation For Social Transformation Trust (COST TRUST),kerala,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9245893158 Email:  admin@gmail.com Website:  http://www.costtrust.org
Community Organisation For Social Transformation Trust (COST TRUST),tamil nadu,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9245893158 Email:  admin@gmail.com Website:  http://www.costtrust.org
Community Renovation And Organisation Advancement Trust (COROAT),tamil nadu,"Education, Women Empowerment",Tel:  9443685327 Email:  coroat@gmail.com Website:  http://www.coroat.org
Compassion Charitable Trust,maharashtra,"Education, Health, Women Empowerment",Tel:  9890803599 Email:  compassion.c.trust777@gmail.com Website:  http://www.compassionpune.org/
Concern For Humanity,delhi,"Education, Women Empowerment",Tel:  9810345783 Email:  concernforhumanity@gmail.com Website:  http://www.concernforhumanity.org
Concerns Universe Foundation,karnataka,"Education, Health, Women Empowerment",Tel:  9886720448 Email:  cufbangalore@gmail.com Website:  https://concernsuniversefoundation.org/
Consumer Education And Research Centre,gujarat,"Education, Environment, Health, Rural Development, Women Empowerment",Tel:  9978271171 Email:  cerc@cercindia.org Website:  http://www.cercindia.org
Coordination Committee For Welfare Of Leprosy Patients,delhi,"Education, Health",Tel:  9811233465 Email:  coleprasociety@yahoo.co.in Website:  http://www.colepra.com
Cuddles Foundation,andhra pradesh,"Health, Health (Including Nutrition, Maternal Healthcare)",Tel:  9930062840 Email:  shiulee@cuddlesfoundation.com Website:  https://www.cuddlesfoundation.org/
Cuddles Foundation,assam,"Health, Health (Including Nutrition, Maternal Healthcare)",Tel:  9930062840 Email:  shiulee@cuddlesfoundation.com Website:  https://www.cuddlesfoundation.org/
